id,hospital_name,sido,sggu,emdong,address,longitude,latitude,homepage_url
smado8,리프톤피부과의원,서울,강남구,신사동,"서울특별시 강남구 도산대로 119, 8층 9층 (신사동)",127.0214762,37.5173225,https://www.liftonskin.com/
6wzs3t,권장덕케이성형외과의원,서울,강남구,신사동,"서울특별시 강남구 논현로 857, 4층 (신사동, 계룡빌딩)",127.0281157,37.5253553,http://www.mimo21.co.kr
e2atn2,디에이치페이스업의원,서울,강남구,논현동,"서울특별시 강남구 강남대로 480, 5층 (논현동)",127.0245552,37.5052903,http://faceup1.com
kgeuid,신논현톡스앤필의원,서울,강남구,논현동,"서울특별시 강남구 강남대로 484, HK빌딩 2,3층 (논현동)",127.0243961,37.5056299,https://www.toxnfill9.com
pja1wj,강남유앤아이의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 470, 808타워 6층 (역삼동)",127.0250552,37.5043479,https://www.uni114.co.kr
kl8cgn,바노바기성형외과의원,서울,강남구,역삼동,"서울특별시 강남구 논현로 517, 바노바기 지하1,지상1~6층 (역삼동)",127.0357283,37.5026925,https://www.banobagi.com
xd9css,도곡양재차앤박피부과의원,서울,강남구,도곡동,"서울특별시 강남구 강남대로 248, 목원빌딩 3층 (도곡동)",127.0339328,37.4857219,https://www.cnpskin.com/cnpskin26
n1u349,대치오라클피부과의원,서울,강남구,역삼동,"서울특별시 강남구 선릉로 319, 2층 (역삼동)",127.0517705,37.4980448,http://daechi.oracleclinic.com/
asnwyw,리더스피부과의원,서울,강남구,청담동,"서울특별시 강남구 도산대로 409, S&S TOWER 4,5층 (청담동)",127.0404854,37.5237127,https://leaders-cd.com/
828xg8,미인피부과의원,서울,강남구,청담동,"서울특별시 강남구 압구정로 461, 210호 (청담동, 네이처 포엠)",127.0472279,37.525274,http://www.meinclinic.com
